Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,130.31,6473,668.022,32306,54350,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2009,101.77,5538,673.795,32113,52201,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2010,98.73,5156,687.156,32755,49742,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2011,92.42,5587,694.388,33468,50376,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2012,93.15,5360,699.782,34394,50431,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2013,111.29,4971,702.387,35621,51219,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2014,133.7,4500,711.771,37643,51527,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2015,141.98,4409,721.929,39955,53341,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2016,155.03,3865,732.185,41094,59038,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2017,170.84,3707,742.516,42391,60950,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
2018,186.18,3486,752.66,44995,63567,186.18,92.42,6473,3486,752.66,668.022,44995,32113,63567,49742
