Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,175.97,514,422.398,29090,44383,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2009,141.69,553,429.167,28150,39876,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2010,130.61,521,442.994,30473,42377,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2011,120.72,517,446.864,32292,40599,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2012,119.51,638,449.975,32286,40197,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2013,130.18,641,452.769,33762,39657,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2014,147.06,2384,455.602,37121,42360,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2015,155.56,2458,457.803,37366,42637,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2016,165.08,2424,460.023,38198,45768,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2017,178.06,2245,463.097,39018,46377,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
2018,189.83,2348,465.861,40420,48763,189.83,119.51,2458,514,465.861,422.398,40420,28150,48763,39657
